course,University,Difficulty Level,Course Rating,Course URL,description,Skills
Cancer Prevention Web-Based Activity,University of Virginia,Beginner,4.8,https://www.coursera.org/learn/prevent-cancer,"This web-based video course focuses on the importance of prevention and risk reduction in decreasing cancer occurrences. All learners will need to watch the video modules, read associated articles, and achieve a passing score of 80% on quizzes in order to complete the course. After completing the course, learners will receive a link to claim continuing medical and nursing education credit.   DESCRIPTION Next Generation Choices Foundation (NGCF or Less Cancer), lesscancer.org, in conjunction with the University of Virginia and American University, promotes a prevention paradigm for addressing the alarming trend of increasing cancer incidences and raises awareness of cancer prevention to make risk reduction and prevention a vital part of the cancer paradigm for all people. This is a departure from previous treatment-focused approaches that talked about beating, conquering, or curing cancer. Many cancers are preventable by reducing risk factors, such as PFAS and lead corrosion in water supply and infrastructure, use of tobacco products, ultraviolet light exposure, asbestos exposure, specific contaminants and pollution sources, disparities and inequities, and promoting healthy lifestyle choices, such as diet, exercise, and nutrition.  Visit the FAQs below for important information regarding 1) Activity faculty and their credentials; 2) Accreditation and Credit Designation statements; 3) Commercial support disclosure statement; 4) Disclosure of financial relationships for every person in control of activity content and their role in the activity; 5) Date of original release and Termination or expiration date.",breast  Risk  public health  diet (nutrition)  Strategy  prevention  Cancer  risk assessment  cancer prevention  Medical Management life-sciences public-health
Environmental Management & Ethics,Technical University of Denmark (DTU),Intermediate,4.6,https://www.coursera.org/learn/environmental-management-ethics,"Decision-makers often turn to scientists and engineers to assist them to navigate through complex environmental, health and societal challenges pervaded by systemic uncertainty, ambiguity and ethical implications.   This course prepares you to meet the requests and demands of current and future decision-makers and in this course, you will analyze ethical challenges associated with environmental dilemmas and apply different decision making tools relevant to environmental management and regulation.",environmental health  Nanotechnology  Environmental Protection  environmental impact assessment  Environmental Studies  Geology  sustainability  Leadership and Management  environmental economics  ethics physical-science-and-engineering environmental-science-and-sustainability
Social Media Management,Facebook,Intermediate,4.8,https://www.coursera.org/learn/social-media-management,"This course equips you with critical content creation and management skills. You�ll learn how to create effective social media posts and how to create a strong brand to help you build a social media presence. You�ll also learn how to establish an ongoing process to manage your content. This includes setting up a content calendar, managing and moderating your posts, analyzing data for insights and iteration, and how to increase post effectiveness. You will end the course with real-world application of your skills through a content management project.  By the end of this course, you will be able to:  � Establish and manage a social media presence  � Create a Facebook business page and an Instagram account for business � Understand how and why to create content for social media  � Create a brand, tone, and voice for a social media presence � Manage a content calendar for your social media presence � Evaluate the performance of your content on social media and to iterate and optimize the performance � Create a content calendar for your social media presence � Manage social media content using real world data  This course is intended for people who want to learn how to create and manage a business presence on social media, including creating content, interacting and engaging with customers on social media and evaluating the results of different posts.    Learners don't need marketing experience, but they have basic internet navigation skills and are eager to participate and connect in social media.  Having a Facebook or Instagram account helps and ideally learners already completed course 1 (Introduction to Social Media Marketing) in this program.",Digital Marketing  Social Media  social media marketing  project management certification  Project Management  content marketing  Leadership and Management  Public Relations  Marketing  content creation business marketing
Principles of Secure Coding,"University of California, Davis",Intermediate,4.3,https://www.coursera.org/learn/secure-coding-principles,"This course introduces you to the principles of secure programming. It begins by discussing the philosophy and principles of secure programming, and then presenting robust programming and the relationship between it and secure programming. We'll go through a detailed example of writing robust code and we'll see many common programming problems and show their connection to writing robust, secure programs in general. We�ll examine eight design principles that govern secure coding and how to apply them to your own work. We�ll discuss how poor design choices drive implementation in coding. We�ll differentiate between informal, formal, and ad hoc coding methods. Throughout, methods for improving the security and robustness of your programs will be emphasized and you will have an opportunity to practice these concepts through various lab activities. A knowledge of the C programming language is helpful, but not required to participate in the lab exercises.",c programming  c++  formal methods  bug bounty program  principle  spring framework  a/rose  defensive programming  penetration test  Computer Programming computer-science computer-security-and-networks
Design and Analyze Secure Networked Systems,University of Colorado System,Advanced,3.4,https://www.coursera.org/learn/design-secure-networked-systems,"In this MOOC, we will learn the basic cyber security concepts, how to identify vulnerabilities/threat in a network system. We will apply CIA basic security services in the triage of recent cyberattack incidents, such as OPM data breach.   We will learn the risk management framework for analyzing the risks in a network system, and apply the basic security design principles to protect the data and secure computer systems. We will examine the trustworthiness of programs and data installed in our systems and show the proper way to verify their integrity and authenticity. We will apply principle of least privileges for controlling the shared access given to different groups of users and system processes. On Amazon Cloud instances, we will use GnuPG software to generate public/private key pair for signing/verifying documents and open source software, and for encrypting documents. We will learn how to publish software, the related signature and release key on  web server and publish public key to PGP key server for others to retrieve. We will learn Public Key Infrastructure (PKI) and  Linux utility to serve as a CA for an organization, learn how to sign certificate request for clients or servers in secure email and web applications.",cyber resilience  digital signature  risk management framework  security  Network Security  public-key cryptography  web  web server  principle of least privilege  data breaches computer-science computer-security-and-networks
Precision Medicine,University of Geneva,Advanced,Not Calibrated,https://www.coursera.org/learn/precision-medicine,"This course will provide you with the key knowledge and tools to understand the fundamentals and practical implications of precision medicine, its opportunities and challenges. It will address precision-medicine era diagnostics, treatment selection, genetic counseling, public health interventions, and biomedical research. It will also deal with data science and ethical issues.  From genomic analysis and genetic counseling to cancer biomarkers, from risk assessment of chronic diseases to the understanding of gene-environment interactions, from pharmacogenomics to multi-omics data integration, experts will walk you through the many aspects of precision medicine, from the bench to the bedside and to population health.  Designed for students with a bachelor-level training in life sciences, this course will also be useful for professionals who are increasingly expected to deal with precision medicine, including primary care physicians and other first-line healthcare professionals, cancer and non-communicable diseases specialists, public health policy and decision makers, as well as biomedical researchers and drug developers.  Experts from the multiple domains of genetics and genomics, oncology, pharmacology, data sciences, ethics, and biomedical research will provide you with a comprehensive, multi-faceted overview of precision medicine, richly illustrated with practical examples and clinical case studies, and peppered with formative evaluations.  Whether you are interested or intrigued by topics such as �genethics�, the analysis of exome sequencing, precision diabetes management, hereditary cancers, the ongoing revolution of genetic technologies, genome-exposome interactions, the pharmacogenetics of opioids, data deidentification, blockchain-base patient-consent documentation, or proteomics and biomarkers, this course will explain the concepts, offer insights and present concrete examples, thus providing you with an overall understanding of the rapidly evolving field of precision medicine.",genetic counseling  pharmacogenomics  physicians  drug development  genetics  oncology  disease  genomics  medicine  Precision Medicine life-sciences research
The Product Lifecycle: A Guide from start to finish,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/the-product-life-cycle,"In this 1 hour and 30 minutes long project-based course, you will learn how to understand the product development stage, you will learn to differentiate and locate products in the introduction stage of the product life cycle as well as doing the needed financial analysis for products in different product life cycle stages   Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Product Sales  Data Analysis  analysis  Microsoft Excel  Product Lifecycle  Product Development  project  Product Management  tracking  Strategy business marketing
Calculating Descriptive Statistics in R,Coursera Project Network,Beginner,5,https://www.coursera.org/learn/calculating-descriptive-statistics-in-r,"Welcome to this 2-hour long project-based course Calculating Descriptive Statistics in R. In this project, you will learn how to perform extensive descriptive statistics on both quantitative and qualitative variables in R. You will also learn how to calculate the frequency and percentage of categorical variables and check the distribution of quantitative variables. By extension, you will learn how to perform univariate and bivariate statistics for univariate and bivariate variables in R.  Note: You do not need to be a Data Scientist to be successful in this guided project, just a familiarity with basic statistics and using R suffice for this project. If you are not familiar with R and want to learn the basics, start with my previous guided project titled �Getting Started with R�.",covariance  Basic Descriptive Statistics  project  Categorical Variable  General Statistics  Studentized Residual  Average  univariate  Stata  project mine data-science data-analysis
Getting Started With Game Development Using PyGame,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/getting-started-with-game-development-using-pygame,"In this 1-hour long project-based course, you will learn how to create a basic single-player Pong replica using the PyGame library for Python, creating a welcome screen, a game that responds to user input to move the paddle, scoring, and a game over screen with user options. By the end of the course, learners will have a basic understanding of the PyGame library and will be able to create simple games built on shapes. No previous experience with PyGame is required, as this is a basic introduction to the library, but familiarity with Python is recommended.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",video game development  display devices  gameplay  Software Engineering  ordered pair  Python Programming  i-deas  pygame  Computer Programming  project computer-science software-development
Positive Psychiatry and Mental Health,The University of Sydney,Intermediate,4.7,https://www.coursera.org/learn/positive-psychiatry,"In today�s world, mental illness and distress are common and these account for a significant burden of disability within our community. At the same time, there is a growing interest in understanding and enhancing positive mental health and wellbeing; particularly from developments in the fields of positive psychology and mental health promotion.  Positive Psychiatry is a new term (Jeste et al 2016) that describes a dual approach to mental health, where we build strengths,  supports and healthy lifestyles as well as treating illness and distress.   In this course, we will explore different aspects of good mental health as well as provide an overview of the major kinds of mental disorders, their causes, treatments and how to seek help and support.  The course will feature a large number of Australian experts in psychiatry, psychology and mental health research,  and we will also hear from �lived experience experts�, people who have lived with mental illness, and share their personal stories of recovery.   We take an evidence-based approach to a range of strategies that anyone can use to enhance their own mental health and that of others, from exercise and relaxation techniques through to the role of love, relationships and 'good' types of work. We cover topics from creativity and yoga through to psychiatric medications and psychotherapies.",Leadership and Management  Resilience  Mental Illness  psychiatry  mindfulness  stress management  positive psychology  stress  mental health  psychologies life-sciences basic-science
Finance for Non-Financial Managers,Emory University,Beginner,4.2,https://www.coursera.org/learn/finance-for-non-financial-managers,"Finance is for �Non-financial Managers� who want to understand key financial principles and apply them in a real-world context. Over the course of the program window, you will work your way through a series of nine modules that move from understanding basic financial principles to applying financial analysis and ratios to drive decisions. In addition, each module is capped with an ending self-evaluation to ensure that you have absorbed the following key learning objectives:  + Understand the language associated with finance + Know how and when  to use financial terms and analysis techniques + Read and assess company performance using financial statements + Recognize the link between organizational strategy and financial objectives + Use ""the numbers"" to your best advantage to make more informed decisions",balance sheet  income statement  income  present value  cash flow  stock  investment  Finance  net present value  financial statement business finance
"Modern Robotics, Course 3:  Robot Dynamics",Northwestern University,Advanced,4.7,https://www.coursera.org/learn/modernrobotics-course3,"Do you want to know how robots work?  Are you interested in robotics as a career?  Are you willing to invest the effort to learn fundamental mathematical modeling techniques that are used in all subfields of robotics?  If so, then the ""Modern Robotics:  Mechanics, Planning, and Control"" specialization may be for you.  This specialization, consisting of six short courses, is serious preparation for serious students who hope to work in the field of robotics or to undertake Advanced study.  It is not a sampler.  In Course 3 of the specialization, Robot Dynamics, you will learn efficient numerical algorithms for forward dynamics (calculating the robot's acceleration given its configuration, velocity, and joint forces and torques) and inverse dynamics (calculating the required joint forces and torques given the robot's configuration, velocity, and acceleration).  The former is useful for simulation, and the latter is useful for robot control.  You will also learn how to plan robot trajectories subject to dynamic constraints.  This course follows the textbook ""Modern Robotics:  Mechanics, Planning, and Control"" (Lynch and Park, Cambridge University Press 2017).  You can purchase the book or use the free preprint pdf.  You will build on a library of robotics software in the language of your choice (among Python, Mathematica, and MATLAB) and use the free cross-platform robot simulator V-REP, which allows you to work with state-of-the-art robots in the comfort of your own home and with zero financial investment.",simulation  robotics  Polynomial  time-scale calculus  Algorithms  torque  path (variable)  Actuators  matrix difference equation  inverse element physical-science-and-engineering mechanical-engineering
Foundations of Public Health Practice: The Public Health Approach,Imperial College London,Intermediate,4.8,https://www.coursera.org/learn/foundations-public-health-approach,"The Public Health Approach course is the first instalment of the wider Foundations of Public Health Practice specialisation from Imperial College London's Global Master of Public Health (MPH). The scope and content of this course has been developed from the ground up by a combined team of academics and practitioners drawing on decades of real-world public health experience as well as deep academic knowledge. Through short video lectures, practitioner interviews and a wide range of interactive activities, learners will be immersed in the world of public health practice.  Designed for those new to the discipline, over four modules (intended for four weeks of learning), learners will become familiar with the scope, origins, ethics, principles and paradigms of public health practice. But there is also important foundational content for those coming from more experienced practitioner backgrounds. The 'Public Health Approach' is a phrase that is used widely to describe an up-stream, preventive, values-driven and evidence-based approach to improving population health. By the end of this course, learners will be confident with identifying and describing a wide range of public health challenges using the language and reference points of the public health profession.  The subsequent courses require the knowledge from this course, as learners will be introduced to the public health toolkit of health needs assessment and evaluation, before taking deeper dives into behaviour change and health protection.",wall  microbiology  Determinants  occupational safety and health administration  prevention  Influencing  public health  Population  determinants of health  biomedicine life-sciences public-health
Discrete Mathematics,Shanghai Jiao Tong University,Advanced,2.6,https://www.coursera.org/learn/discrete-mathematics,"Discrete mathematics forms the mathematical foundation of computer and information science. It is also a fascinating subject in itself.  Learners will become familiar with a broad range of mathematical objects like sets, functions, relations, graphs, that are omnipresent in computer science. Perhaps more importantly, they will reach a certain level of mathematical maturity - being able to  understand formal statements and their proofs; coming up with rigorous proofs themselves; and coming up with interesting results.  This course attempts to be rigorous without being overly formal. This means, for every concept we introduce we will show at least one interesting and non-trivial result and give a full proof. However, we will do so without too much formal notation, employing examples and figures whenever possible.  The main topics of this course are (1) sets, functions, relations, (2) enumerative combinatorics, (3) graph theory, (4) network flow and matchings. It does not cover modular arithmetic, algebra, and logic, since these topics have a slightly different flavor and because there are already several courses on Coursera specifically on these topics.",Polynomial  Discrete Mathematics  euler's totient function  Closed-Form Expression  spanning tree  numbers (spreadsheet)  augmented assignment  Theoretical Computer Science  order by  graphs math-and-logic math-and-logic
Building Your Career in Music: Developing A Brand and Funding Your Music,Berklee College of Music,Conversant,4.3,https://www.coursera.org/learn/navigate-music-industry-independent-artist,"This course shares practical tips and strategies to help you take your first step into launching your career as a musical artist. We�ll cover everything from developing your unique identity as an artist and how to lead a band all the way to planning and recording your first independent record with the help of crowdfunding.   The course curriculum is modeled from the real-world experience of Leah Waldo (also known as the emerging country artist, Elisa Smith) and features interviews with industry executives, artists, producers, and engineers � all designed to help you navigate the music industry.",music  Communication  partnership  business partner  funds  brand  ordered pair  Benefits  career  project arts-and-humanities music-and-art
Coaching Practices,"University of California, Davis",Beginner,4.7,https://www.coursera.org/learn/coaching-practices,"In order for coaching to be most effective, it�s important that there is strong culture of coaching and accountability which you will learn how to incorporate into your one-on-one meetings in this course.   We�ll discuss strategies in coaching great employees who are highly motivated, consistent performers, and poor performers.    We�ll explore specific tools, such as a coaching agenda, you can employ immediately in your coaching conversations. You will learn how to use the ""Coaching Algebra"" technique in typical performance scenarios managers encounter. Finally, you�ll walk away from this course with some concrete strategies on how to coach other coach-managers.  If you are ready to begin creating a coaching practice within your own organization, please join us in this course!",employment  thought  process  performance  life coaching  coaching  supervision  Human Resources  Leadership and Management  Culture business leadership-and-management
Major Engineering Project Performance,University of Leeds,Beginner,4.7,https://www.coursera.org/learn/major-engineering-project-performance,"Manage large projects by identifying their key characteristics, examining the key factors and risks that affect their performance and exploring methods to counter their impact on the successful delivery of projects.  Looking into examples of best practice, you'll explore the relationship between projects, programmes and portfolios.  You'll also discover the roles performed by the project manager, examine the difficulties associated with quantifying transaction costs in major project management and consider how different management approaches impact on these costs. Optimism bias and strategic misinterpretation regularly cause delays to major engineering projects. Using stimulating case studies, you'll evaluate the measures of success and compare and contrast 'project success' versus 'project management success'. In the final week of the course, you'll research and present a contemporary example of a major engineering project from your own country.   This course explores concepts analysed in the University�s Online MSc in Engineering Management. If you are interested to develop your skills further, take a look at our online degree.",Project Management  Mechanical Engineering  engineering management  project finance model  project  Engineering Projects  Construction Management  Leadership and Management  microsoft project  performance physical-science-and-engineering mechanical-engineering
Agile Meets Design Thinking,University of Virginia,Beginner,4.7,https://www.coursera.org/learn/uva-darden-getting-started-agile,"Despite everyone's good intentions, hard work and solid ideas, too many teams end up creating products that no one wants, no one can use, and no one buys. But it doesn't have to be this way. Agile and design thinking offer a different--and effective--approach to product development, one that results in valuable solutions to meaningful problems. In this course, you�ll learn how to determine what's valuable to a user early in the process--to frontload value--by focusing your team on testable narratives about the user and creating a strong shared perspective.   As a  Project Management Institute (PMI�) Registered Education Provider, the University of Virginia Darden School of Business has been approved by PMI to issue 25 professional development units (PDUs) for this course, which focuses on core competencies recognized by PMI. (Provider #2122)   This course is supported by the Batten Institute at UVA�s Darden School of Business. The Batten Institute�s mission is to improve the world through entrepreneurship and innovation: www.batteninstitute.org.",user story  agile management  design thinking  software  User Experience  Agile Software Development  experience  Software Engineering  persona (user experience)  Leadership and Management computer-science design-and-product
Introduction to English Common Law,University of London,Intermediate,4.8,https://www.coursera.org/learn/intro-common-law,"The common law of England and Wales is one of the major global legal traditions.  This MOOC will give you an introduction to this influential legal system including its history, constitutional background, sources and institutions. You�ll learn about the different ways in which laws are made and interpreted, the English court system and the increasing importance of European Union and human rights law. Now is an especially exciting time to be learning about English common law, given the potential changes that lie ahead in today�s political, economic and social environment � all these pose challenges to and opportunities for the law.  Each week we�ll focus on one aspect of English common law, using video lectures, readings, discussion questions and activities to enable you to learn about and evaluate key issues. Whether undertaken as a standalone course, or as preparation for the University of London�s world-class LLB degree, you will find this course interesting and stimulating.  Please note that participation in or completion of this online course will not confer academic credit for University of London programmes.",analysis  english language  law  constitution  Human Learning  common law  international law  justice  history  Legal Writing social-sciences law
Web Application Technologies and Django,University of Michigan,Conversant,4.7,https://www.coursera.org/learn/django-database-web-apps,"In this course, you'll explore the basic structure of a web application, and how a web browser interacts with a web server. You'll be introduced to the Hypertext Transfer Protocol (HTTP) request/response cycle, including GET/POST/Redirect. You'll also gain an introductory understanding of Hypertext Markup Language (HTML), as well as the overall structure of a Django application.  We will explore the Model-View-Controller (MVC) pattern for web applications and how it relates to Django.  You will learn how to deploy a Django application using a service like PythonAnywhere so that it is available over the Internet.   This is the first course in the Django for Everybody specialization. It is recommended that you complete the Python for Everybody specialization or an equivalent learning experience before beginning this series.",django (web framework)  sqlite  CSS  Web Development  hypertext  web  Javascript  Python Programming  html  SQL computer-science mobile-and-web-development
Biomedical Visualisation,University of Glasgow,Beginner,4.7,https://www.coursera.org/learn/biomedvis,"Visualisation is a rapidly progressive specialty in academia, research and industry, and becoming the future of science. With the advancement of digital technologies and their applications, biomedical visualisation is an evolving and popular field. With new techniques and technologies to image, process and analyse data related to the human body, and its biological processes, it is at the forefront of the digital revolution. Why not view our course trailer video. Copy and paste this link into your browser https://youtu.be/vB_QcIVSiTs  By the end of this course, you will be able to: Define and describe anatomical terminology related to the human body. Describe the various body systems, what comprises them, and how they relate to function. Create your own 3D modelling and animations using industry standard, open-source software (Blender). Analyse various visualisation techniques and methods, and be able to apply them to areas of biomedical science.  This course is the first of its kind on Coursera. It explores the structure and function of the human body including terminology used. It showcases visualisation techniques available using technology to image and display data related to the body and biological processes.. It also provides training in the creation of animations, and examines the applicability of different types of reality.   You will learn from experts in these fields and with the knowledge you will gain from this course, be able to evaluate and apply how best to use visualisation in your own discipline.  No prior experience is necessary but should be able to learn at an intermediate level.",biomedical sciences  mixed reality  augmented reality  anatomy  medical imaging  extended reality  3d modeling  Virtual Reality  ordered pair  digital image processing life-sciences health-informatics
